,S2,S2_conf
"('Larval input', 'Juveniles')",-0.0170675052680134,0.2791377980100486
"('Larval input', 'Octopus abundance')",-0.06906969653779055,0.2723283412075662
"('Larval input', 'Spawning females')",-0.13976384664679267,0.2580439943457451
"('Larval input', 'Individual catch per effort')",-0.045617085036901116,0.22153775136998707
"('Larval input', 'Fisher effort')",-0.12416302422488777,0.2367298408652895
"('Larval input', 'Fisher landings')",-0.08330105181458927,0.24280485787364794
"('Larval input', 'Fisher profit')",-0.054068872876415514,0.2285328914495349
"('Larval input', 'Total landings')",-0.05256523456493334,0.25391713638049557
"('Larval input', 'Total number of fishers')",-0.06596188369684772,0.2433389882346115
"('Larval input', 'Enforcement of number of fishers')",-0.06081029901663049,0.2065948016481181
"('Larval input', 'Formalized fishers')",-0.02474920625510923,0.2618427449747761
"('Larval input', 'Unformalized fishers')",-0.08141663773749963,0.2356869330688759
"('Larval input', 'Roving bandits')",-0.0891440147578258,0.26240769518572327
"('Larval input', 'Octopus landing price')",-0.06596188369684776,0.24985302483789198
"('Larval input', 'Landing price of other benthic resources')",-0.013746408588921184,0.2383886711902528
"('Larval input', 'Fisher compliance (e.g. ban period & >1kg)')",-0.06596188369684747,0.28590902539283986
"('Larval input', 'Off-season octopus landed')",-0.05577979235568467,0.22773233049294267
"('Larval input', 'Underweight octopus landed')",-0.06894006025936916,0.25331919838496414
"('Larval input', 'Illegal/informal trade (buyers & sellers)')",-0.02116327822867075,0.2535182794905877
"('Larval input', 'Product stockpilling by processing plants')",-0.07289554540721346,0.2744263161859077
"('Larval input', 'Enforcement of ban period & >1kg')",0.02070888768272186,0.24359325067238036
"('Larval input', 'Enforcement of trade')",0.012100816585400603,0.29389780763185047
"('Larval input', 'Domestic market demand')",-0.05741705648687586,0.25253830248126513
"('Larval input', 'Domestic retail price')",-0.06306171922970072,0.2563774774721969
"('Larval input', 'International marke demand (for Chilean-peruvian octopus)')",-0.10205636100541718,0.26233619831184146
"('Larval input', 'Lower quality (processing)')",-0.030645947661002364,0.2677180342154409
"('Larval input', 'Lower quality (species)')",-0.07302507090401644,0.23988396755075936
"('Larval input', 'Low and volatile landings')",-0.07773386237546194,0.24528066581204583
"('Larval input', 'Thermal anomalies (El Niño - La Niña)')",-0.07056788794368438,0.2730844362893462
"('Larval input', 'Use of selective gear')",-0.10937492034879356,0.2274714961141222
"('Larval input', 'Harvest spawning females')",-0.13168228282508104,0.22668021549637807
"('Larval input', 'Landings with bad practices')",-0.07384410473755094,0.2371074937097467
"('Larval input', 'Debt')",-0.0866461674728426,0.24042675759436075
"('Larval input', 'Financial inclusion')",-0.09229678051203404,0.21442752087633477
"('Larval input', 'Dependency on informal financial services')",-0.09291860336821585,0.2393306830350854
"('Larval input', 'Operating expenses')",-0.04621071108545759,0.23418942497721632
"('Larval input', 'Distance traveled during fishing trips')",0.011182784552048373,0.2355922973029523
"('Larval input', 'Wealth')",-0.1073552605899191,0.2849763765588813
"('Larval input', 'Socio-economic status')",-0.11817107872429007,0.24061679506266245
"('Larval input', 'Temporal discounting')",-0.08880770494791627,0.21806135919746247
"('Larval input', 'Invest in the future')",0.007935099188068749,0.2636893664021698
"('Larval input', ""Fishers' concern towards sustainability"")",-0.012807847842282151,0.23617929210090488
"('Larval input', 'Collective actions')",-0.052750818420107745,0.25959179025226553
"('Larval input', 'Knowledge')",-0.11714121060798824,0.22176294845364802
"('Larval input', 'Awareness')",-0.06870740564823113,0.24408525629014566
"('Larval input', 'Information for improving management')",-0.028837192632934466,0.203234317473548
"('Juveniles', 'Octopus abundance')",-0.1836551380860051,0.2530992999891554
"('Juveniles', 'Spawning females')",-0.25068062544294084,0.249527989037863
"('Juveniles', 'Individual catch per effort')",-0.1842275308966135,0.22703973920321477
"('Juveniles', 'Fisher effort')",-0.14341320697871046,0.2272120627489156
"('Juveniles', 'Fisher landings')",-0.19758602273036593,0.22613448662699154
"('Juveniles', 'Fisher profit')",-0.20262619898749162,0.17039557870795474
"('Juveniles', 'Total landings')",-0.20807802120812569,0.2364777425386863
"('Juveniles', 'Total number of fishers')",-0.17054917181859883,0.22333264523403376
"('Juveniles', 'Enforcement of number of fishers')",-0.17642046317761484,0.23218228541674693
"('Juveniles', 'Formalized fishers')",-0.19214390466354112,0.24331965026775293
"('Juveniles', 'Unformalized fishers')",-0.20786734614946703,0.2195041408224374
"('Juveniles', 'Roving bandits')",-0.20786734614946697,0.23093648842008957
"('Juveniles', 'Octopus landing price')",-0.19262199747436165,0.18472213702354767
"('Juveniles', 'Landing price of other benthic resources')",-0.22677313683292294,0.22151543167422935
"('Juveniles', 'Fisher compliance (e.g. ban period & >1kg)')",-0.15967166642053401,0.26941445603896386
"('Juveniles', 'Off-season octopus landed')",-0.2095322731955107,0.20063973580596955
"('Juveniles', 'Underweight octopus landed')",-0.20262619898749215,0.23398581817361955
"('Juveniles', 'Illegal/informal trade (buyers & sellers)')",-0.2727453500642568,0.238283664373644
"('Juveniles', 'Product stockpilling by processing plants')",-0.2520056434804677,0.24497290699439234
"('Juveniles', 'Enforcement of ban period & >1kg')",-0.22378881805591008,0.23244400425537332
"('Juveniles', 'Enforcement of trade')",-0.2647808668596598,0.27915029863306645
"('Juveniles', 'Domestic market demand')",-0.2663776717571552,0.20670828797849042
"('Juveniles', 'Domestic retail price')",-0.19082385876809083,0.22521137801390034
"('Juveniles', 'International marke demand (for Chilean-peruvian octopus)')",-0.20752246499887395,0.26496895771007056
"('Juveniles', 'Lower quality (processing)')",-0.23137013382176735,0.20764862271143342
"('Juveniles', 'Lower quality (species)')",-0.19783554318177887,0.2166167526939955
"('Juveniles', 'Low and volatile landings')",-0.1978355431817791,0.22199477699453227
"('Juveniles', 'Thermal anomalies (El Niño - La Niña)')",-0.22605660689581886,0.2260786778869011
"('Juveniles', 'Use of selective gear')",-0.16105651363887877,0.23781595521252144
"('Juveniles', 'Harvest spawning females')",-0.16919471093512983,0.22181865867473566
"('Juveniles', 'Landings with bad practices')",-0.2186647125719384,0.20147634939705955
"('Juveniles', 'Debt')",-0.20262619898749107,0.24635224756725196
"('Juveniles', 'Financial inclusion')",-0.12224797853397291,0.21716257029259584
"('Juveniles', 'Dependency on informal financial services')",-0.20262619898749132,0.21412917607695184
"('Juveniles', 'Operating expenses')",-0.21155711237121647,0.21652150346332447
"('Juveniles', 'Distance traveled during fishing trips')",-0.21134685020783667,0.2257906583687835
"('Juveniles', 'Wealth')",-0.24721645364075479,0.26945304252531965
"('Juveniles', 'Socio-economic status')",-0.20262619898749173,0.2095203483984504
"('Juveniles', 'Temporal discounting')",-0.2026261989874918,0.2322989242208246
"('Juveniles', 'Invest in the future')",-0.2753826956650035,0.23332370261252633
"('Juveniles', ""Fishers' concern towards sustainability"")",-0.2538581223079648,0.19335966888974593
"('Juveniles', 'Collective actions')",-0.20800249708448354,0.2559470202465505
"('Juveniles', 'Knowledge')",-0.16974045086883496,0.2352355214001615
"('Juveniles', 'Awareness')",-0.20821270701438674,0.24300440701173007
"('Juveniles', 'Information for improving management')",-0.13967599974878955,0.20910374650672364
"('Octopus abundance', 'Spawning females')",-0.10258011134548975,0.26899935661583113
"('Octopus abundance', 'Individual catch per effort')",-0.08926221070722776,0.2358043581522736
"('Octopus abundance', 'Fisher effort')",-0.12570750656260443,0.23711248142857624
"('Octopus abundance', 'Fisher landings')",-0.14407803335420055,0.24719678620719523
"('Octopus abundance', 'Fisher profit')",-0.09825133786843315,0.20822195351658196
"('Octopus abundance', 'Total landings')",-0.08622899950191737,0.26553154639983456
"('Octopus abundance', 'Total number of fishers')",-0.15456747209570004,0.27072107668789197
"('Octopus abundance', 'Enforcement of number of fishers')",-0.05766287243272303,0.24598863290499004
"('Octopus abundance', 'Formalized fishers')",-0.11629490489826713,0.26476367305203913
"('Octopus abundance', 'Unformalized fishers')",-0.11629490489826633,0.24159395103011044
"('Octopus abundance', 'Roving bandits')",-0.06565814958711479,0.2742147499745171
"('Octopus abundance', 'Octopus landing price')",-0.08019914836779198,0.22392248644059287
"('Octopus abundance', 'Landing price of other benthic resources')",-0.08598881485424499,0.23608616015413508
"('Octopus abundance', 'Fisher compliance (e.g. ban period & >1kg)')",-0.1274766615384884,0.2806450744202323
"('Octopus abundance', 'Off-season octopus landed')",-0.038912274177557826,0.23756611638767916
"('Octopus abundance', 'Underweight octopus landed')",-0.053250278905619085,0.2470252852362988
"('Octopus abundance', 'Illegal/informal trade (buyers & sellers)')",-0.052151773917385576,0.26516586964579186
"('Octopus abundance', 'Product stockpilling by processing plants')",-0.0984604907999264,0.2493002045173878
"('Octopus abundance', 'Enforcement of ban period & >1kg')",-0.07335133484290199,0.24650680520509988
"('Octopus abundance', 'Enforcement of trade')",-0.11616962922984311,0.30498215807929524
"('Octopus abundance', 'Domestic market demand')",-0.07911133288024844,0.2340868246569863
"('Octopus abundance', 'Domestic retail price')",-0.19265512989816624,0.26389807897507067
"('Octopus abundance', 'International marke demand (for Chilean-peruvian octopus)')",-0.11310370242743233,0.2898602097128042
"('Octopus abundance', 'Lower quality (processing)')",-0.13243075745045557,0.2640731148142498
"('Octopus abundance', 'Lower quality (species)')",-0.17627912087271286,0.24236128171743446
"('Octopus abundance', 'Low and volatile landings')",-0.12755871707020483,0.2563155371495543
"('Octopus abundance', 'Thermal anomalies (El Niño - La Niña)')",-0.14852574202313934,0.2575589530838637
"('Octopus abundance', 'Use of selective gear')",-0.14526817200764408,0.23713780491303343
"('Octopus abundance', 'Harvest spawning females')",-0.11130110678369441,0.23680602194100855
"('Octopus abundance', 'Landings with bad practices')",-0.08660505996150068,0.257600384486172
"('Octopus abundance', 'Debt')",-0.10325660353601057,0.26556022909922644
"('Octopus abundance', 'Financial inclusion')",-0.11017585208090645,0.22576308119854377
"('Octopus abundance', 'Dependency on informal financial services')",-0.09633744164586576,0.243080718157733
"('Octopus abundance', 'Operating expenses')",-0.06703334322352342,0.2375686758284085
"('Octopus abundance', 'Distance traveled during fishing trips')",-0.10563453535907641,0.23649476324176869
"('Octopus abundance', 'Wealth')",-0.12326977629392981,0.29002577119911244
"('Octopus abundance', 'Socio-economic status')",-0.11335156872821013,0.24214207262443005
"('Octopus abundance', 'Temporal discounting')",-0.06098524020287492,0.24506417563612068
"('Octopus abundance', 'Invest in the future')",-0.09823528556710195,0.2702790042200873
"('Octopus abundance', ""Fishers' concern towards sustainability"")",-0.1027399653032327,0.22191930091900414
"('Octopus abundance', 'Collective actions')",-0.1411741412431457,0.26774798098971025
"('Octopus abundance', 'Knowledge')",-0.11399563972905667,0.21840813656913893
"('Octopus abundance', 'Awareness')",-0.10847524170445602,0.2391110152693576
"('Octopus abundance', 'Information for improving management')",-0.10563453535907688,0.22594615032413384
"('Spawning females', 'Individual catch per effort')",-0.1289208945267366,0.2803123001879225
"('Spawning females', 'Fisher effort')",-0.16668978934839457,0.30464128599146634
"('Spawning females', 'Fisher landings')",-0.1691242608003209,0.32219256400773155
"('Spawning females', 'Fisher profit')",-0.14565012593708654,0.2478048082454862
"('Spawning females', 'Total landings')",-0.1693230912172227,0.3129173957535104
"('Spawning females', 'Total number of fishers')",-0.12537345281754486,0.3068149077453586
"('Spawning females', 'Enforcement of number of fishers')",-0.1261851006541982,0.2782620748975126
"('Spawning females', 'Formalized fishers')",-0.10593275630710033,0.3352121561163932
"('Spawning females', 'Unformalized fishers')",-0.1666897893483951,0.30640281895382987
"('Spawning females', 'Roving bandits')",-0.20466293499920385,0.2874248986053119
"('Spawning females', 'Octopus landing price')",-0.1473611454751979,0.27439766660477255
"('Spawning females', 'Landing price of other benthic resources')",-0.12936726547640037,0.29196591374386266
"('Spawning females', 'Fisher compliance (e.g. ban period & >1kg)')",-0.16668978934839462,0.35254201106453886
"('Spawning females', 'Off-season octopus landed')",-0.13666826692151274,0.28702448121549723
"('Spawning females', 'Underweight octopus landed')",-0.1696168040931136,0.2893771437869017
"('Spawning females', 'Illegal/informal trade (buyers & sellers)')",-0.19039772017756737,0.30415581353125626
"('Spawning females', 'Product stockpilling by processing plants')",-0.24846437712748365,0.31617502498712213
"('Spawning females', 'Enforcement of ban period & >1kg')",-0.11558067198646403,0.26853060179197213
"('Spawning females', 'Enforcement of trade')",-0.16335406463429702,0.3515700195144346
"('Spawning females', 'Domestic market demand')",-0.2086799714440472,0.2771207719248498
"('Spawning females', 'Domestic retail price')",-0.16383944653652976,0.3386300968180179
"('Spawning females', 'International marke demand (for Chilean-peruvian octopus)')",-0.20689412481210012,0.316841692870185
"('Spawning females', 'Lower quality (processing)')",-0.16900373913904376,0.332310870348806
"('Spawning females', 'Lower quality (species)')",-0.18751533746423726,0.31964107249911156
"('Spawning females', 'Low and volatile landings')",-0.16437583955774532,0.3307063237125949
"('Spawning females', 'Thermal anomalies (El Niño - La Niña)')",-0.22101232689457267,0.3299579777996574
"('Spawning females', 'Use of selective gear')",-0.1691996274741862,0.2942973913164694
"('Spawning females', 'Harvest spawning females')",-0.16668978934839446,0.3021464361958608
"('Spawning females', 'Landings with bad practices')",-0.16927206038157303,0.28776384803609806
"('Spawning females', 'Debt')",-0.20508891786544817,0.3274031291662404
"('Spawning females', 'Financial inclusion')",-0.13217979991449308,0.2708811679115176
"('Spawning females', 'Dependency on informal financial services')",-0.2020146329412929,0.28460273811493675
"('Spawning females', 'Operating expenses')",-0.14727792029182527,0.2873351541998262
"('Spawning females', 'Distance traveled during fishing trips')",-0.09929476074599014,0.2965263818579177
"('Spawning females', 'Wealth')",-0.24087513062610127,0.32791220583052383
"('Spawning females', 'Socio-economic status')",-0.20822831640473966,0.2768207766120614
"('Spawning females', 'Temporal discounting')",-0.20910168215541203,0.2944094508260386
"('Spawning females', 'Invest in the future')",-0.18308955046087566,0.32023953472374345
"('Spawning females', ""Fishers' concern towards sustainability"")",-0.1639402678945541,0.27287698902044955
"('Spawning females', 'Collective actions')",-0.127737448498213,0.31235843516196643
"('Spawning females', 'Knowledge')",-0.18522141325071387,0.290265426964409
"('Spawning females', 'Awareness')",-0.16399143246291772,0.3123558289009219
"('Spawning females', 'Information for improving management')",-0.09371593044113083,0.3049091093753013
"('Individual catch per effort', 'Fisher effort')",0.19820542615465048,0.1955764066877006
"('Individual catch per effort', 'Fisher landings')",0.18578204185147418,0.1916775988319951
"('Individual catch per effort', 'Fisher profit')",0.16721432053171342,0.17663605948743832
"('Individual catch per effort', 'Total landings')",0.15488940305791615,0.2272339913022889
"('Individual catch per effort', 'Total number of fishers')",0.13736673702510396,0.2234972630808608
"('Individual catch per effort', 'Enforcement of number of fishers')",0.12248016157579394,0.19213289372996967
"('Individual catch per effort', 'Formalized fishers')",0.18451251766684126,0.21873912070803103
"('Individual catch per effort', 'Unformalized fishers')",0.18451251766684124,0.20082489713430166
"('Individual catch per effort', 'Roving bandits')",0.15155782849347246,0.23092405134565117
"('Individual catch per effort', 'Octopus landing price')",0.1838052005812671,0.21987263327571802
"('Individual catch per effort', 'Landing price of other benthic resources')",0.14042497073830984,0.23483516996921244
"('Individual catch per effort', 'Fisher compliance (e.g. ban period & >1kg)')",0.1901875365398845,0.2116024855461998
"('Individual catch per effort', 'Off-season octopus landed')",0.20731904170940843,0.16647144788116913
"('Individual catch per effort', 'Underweight octopus landed')",0.13538431697646272,0.2322254478006485
"('Individual catch per effort', 'Illegal/informal trade (buyers & sellers)')",0.16641097437850316,0.22786714036678438
"('Individual catch per effort', 'Product stockpilling by processing plants')",0.1690044286440791,0.2105539330008713
"('Individual catch per effort', 'Enforcement of ban period & >1kg')",0.1298679845692895,0.23916823151465244
"('Individual catch per effort', 'Enforcement of trade')",0.14601566080488124,0.23981865498834976
"('Individual catch per effort', 'Domestic market demand')",0.1840094812148703,0.1819290568308912
"('Individual catch per effort', 'Domestic retail price')",0.1668217988549452,0.20243237455406857
"('Individual catch per effort', 'International marke demand (for Chilean-peruvian octopus)')",0.1708153806846584,0.21284930620813727
"('Individual catch per effort', 'Lower quality (processing)')",0.17077631928214915,0.2121982832095176
"('Individual catch per effort', 'Lower quality (species)')",0.17077631928214942,0.20059594770783343
"('Individual catch per effort', 'Low and volatile landings')",0.20975791331968446,0.20557080125310379
"('Individual catch per effort', 'Thermal anomalies (El Niño - La Niña)')",0.19673582716829277,0.23678129973943143
"('Individual catch per effort', 'Use of selective gear')",0.1709263193852406,0.19038121171058525
"('Individual catch per effort', 'Harvest spawning females')",0.18549122936590273,0.19216173528237818
"('Individual catch per effort', 'Landings with bad practices')",0.2026194759892412,0.1952028952786854
"('Individual catch per effort', 'Debt')",0.17073406748383063,0.23480731545256944
"('Individual catch per effort', 'Financial inclusion')",0.14257864903342424,0.20716994303000882
"('Individual catch per effort', 'Dependency on informal financial services')",0.15547955444272982,0.19476385428367682
"('Individual catch per effort', 'Operating expenses')",0.18056570722374066,0.19140217922216696
"('Individual catch per effort', 'Distance traveled during fishing trips')",0.15610261237351775,0.2277351196146857
"('Individual catch per effort', 'Wealth')",0.1964916377630801,0.22123048702532638
"('Individual catch per effort', 'Socio-economic status')",0.18584386934642,0.18334996864252123
"('Individual catch per effort', 'Temporal discounting')",0.17091481723620033,0.20503969531435812
"('Individual catch per effort', 'Invest in the future')",0.16721042853845788,0.1876701651881871
"('Individual catch per effort', ""Fishers' concern towards sustainability"")",0.16689900209466998,0.18037437156908245
"('Individual catch per effort', 'Collective actions')",0.13917694994845228,0.1808095488978639
"('Individual catch per effort', 'Knowledge')",0.13454188402704734,0.22945195100109772
"('Individual catch per effort', 'Awareness')",0.13387821869398842,0.2027333973958335
"('Individual catch per effort', 'Information for improving management')",0.1317516187677596,0.22286977770481362
"('Fisher effort', 'Fisher landings')",0.11498033304243023,0.20421513198360725
"('Fisher effort', 'Fisher profit')",0.09898154730313537,0.16802460608916003
"('Fisher effort', 'Total landings')",0.15089790765263306,0.24541380273532076
"('Fisher effort', 'Total number of fishers')",0.09898154730313605,0.2338711665431548
"('Fisher effort', 'Enforcement of number of fishers')",0.11561826518656304,0.22668368218104631
"('Fisher effort', 'Formalized fishers')",0.08234482941970868,0.22606569755841405
"('Fisher effort', 'Unformalized fishers')",0.08234482941970847,0.21627462338112077
"('Fisher effort', 'Roving bandits')",0.1156182651865633,0.271287634143528
"('Fisher effort', 'Octopus landing price')",0.0831036227687503,0.1973489832604497
"('Fisher effort', 'Landing price of other benthic resources')",0.16030030524187544,0.21003413241502883
"('Fisher effort', 'Fisher compliance (e.g. ban period & >1kg)')",0.03080730814843631,0.2693368506583359
"('Fisher effort', 'Off-season octopus landed')",0.09898154730313553,0.19356619347381854
"('Fisher effort', 'Underweight octopus landed')",0.0989815473031361,0.2270094348776075
"('Fisher effort', 'Illegal/informal trade (buyers & sellers)')",0.1434967077684985,0.23855915507741482
"('Fisher effort', 'Product stockpilling by processing plants')",0.09898154730313576,0.2306421351955203
"('Fisher effort', 'Enforcement of ban period & >1kg')",0.18854884042553707,0.2292829496304272
"('Fisher effort', 'Enforcement of trade')",0.16474639117990167,0.288772862709507
"('Fisher effort', 'Domestic market demand')",0.11737820108112546,0.19925448680938704
"('Fisher effort', 'Domestic retail price')",0.09898154730313592,0.2144028172872832
"('Fisher effort', 'International marke demand (for Chilean-peruvian octopus)')",0.098981547303136,0.28524868358878214
"('Fisher effort', 'Lower quality (processing)')",0.12939503757659154,0.21264627220544308
"('Fisher effort', 'Lower quality (species)')",0.09898154730313587,0.2121306068774862
"('Fisher effort', 'Low and volatile landings')",0.05336131189295276,0.22595385824763425
"('Fisher effort', 'Thermal anomalies (El Niño - La Niña)')",0.09898154730313591,0.23661201563425788
"('Fisher effort', 'Use of selective gear')",0.06599339097615983,0.21938333235888588
"('Fisher effort', 'Harvest spawning females')",0.01054826193616451,0.2213758325235868
"('Fisher effort', 'Landings with bad practices')",0.13292172840315628,0.20951976311659867
"('Fisher effort', 'Debt')",0.12866980960281993,0.2467572426512281
"('Fisher effort', 'Financial inclusion')",0.07063258441113629,0.22008402062586482
"('Fisher effort', 'Dependency on informal financial services')",0.11349071836647158,0.2192734179699203
